_id,user_id,amount,timestamp,status
t1,u16,483.22,2024-10-24T15:41:56.024309,unknown
t3,u484,18.73,2024-11-17T15:41:56.024359,FAILED
t4,u403,127.74,2024-11-12T15:41:56.024369,FAILED
t5,u604,384.01,2024-11-02T15:41:56.024378,unknown
t6,u252,6.78,2025-01-06T15:41:56.024387,unknown
t7,u739,268.07,2024-10-22T15:41:56.024398,PENDING
t9,u552,429.21,2024-12-05T15:41:56.024414,PENDING
t10,u243,284.72,2024-10-25T15:41:56.024424,unknown
t12,u722,466.01,2024-11-29T15:41:56.024440,unknown
t13,u118,174.38,2024-10-28T15:41:56.024454,unknown
t14,u788,437.54,2024-11-22T15:41:56.024462,unknown
t16,u70,333.49,2024-11-07T15:41:56.024482,FAILED
t17,u375,93.95,2024-11-22T15:41:56.024490,unknown
t18,u470,170.23,2024-11-05T15:41:56.024498,unknown
t19,u364,312.5,2024-11-20T15:41:56.024506,FAILED
t20,u544,400.48,2024-12-01T15:41:56.024514,unknown
t22,u375,267.32,2024-11-13T15:41:56.024530,unknown
t23,u819,447.52,2024-10-25T15:41:56.024538,FAILED
t24,u751,188.62,2024-11-22T15:41:56.024546,FAILED
t25,u840,170.82,2024-12-10T15:41:56.024553,unknown
t26,u331,18.51,2024-11-09T15:41:56.024566,unknown
t27,u964,276.59,2024-10-25T15:41:56.024591,unknown
t29,u745,360.35,2024-12-08T15:41:56.024624,unknown
t30,u214,40.22,2024-10-23T15:41:56.024632,unknown
t32,u437,6.64,2024-12-10T15:41:56.024647,unknown
t33,u72,268.01,2024-10-24T15:41:56.024654,PENDING
t34,u784,439.67,2024-10-28T15:41:56.024662,unknown
t35,u532,441.86,2024-11-08T15:41:56.024670,unknown
t36,u970,145.43,2024-10-31T15:41:56.024677,unknown
t38,u997,93.75,2024-10-19T15:41:56.024692,unknown
t40,u356,201,2024-11-03T15:41:56.024707,unknown
t44,u878,53.91,2024-11-23T15:41:56.024739,unknown
t45,u103,479.2,2024-11-24T15:41:56.024747,unknown
t46,u848,57.85,2024-12-09T15:41:56.024758,unknown
t48,u884,2.45,2024-11-07T15:41:56.024774,FAILED
t49,u905,440.46,2025-01-01T15:41:56.024782,PENDING
t50,u607,407.12,2024-12-03T15:41:56.024791,PENDING
t51,u921,481.12,2024-11-23T15:41:56.024799,unknown
t52,u461,403.98,2024-12-18T15:41:56.024806,unknown
t53,u134,341.09,2024-10-31T15:41:56.024814,unknown
t54,u200,33.19,2024-11-01T15:41:56.024822,unknown
t55,u845,445.73,2024-11-04T15:41:56.024830,FAILED
t56,u855,137.79,2024-11-13T15:41:56.024838,unknown
t57,u58,149,2024-12-12T15:41:56.024845,unknown
t58,u711,224.26,2024-11-20T15:41:56.024853,FAILED
t59,u206,331.77,2024-12-15T15:41:56.024877,PENDING
t60,u313,420.91,2024-11-13T15:41:56.024885,unknown
t61,u862,49.3,2024-11-19T15:41:56.024909,unknown
t62,u313,309.35,2024-11-07T15:41:56.024917,FAILED
t63,u407,274.56,2024-12-14T15:41:56.024924,unknown
t64,u348,359.34,2024-12-10T15:41:56.024932,unknown
t65,u111,498.25,2024-12-08T15:41:56.024943,unknown
t66,u390,412.59,2024-11-27T15:41:56.024952,unknown
t67,u2,287.16,2024-12-01T15:41:56.024960,unknown
t68,u276,73.42,2024-12-05T15:41:56.024968,unknown
t69,u454,11.68,2024-11-29T15:41:56.024977,unknown
t70,u711,226.13,2024-11-02T15:41:56.024984,unknown
t71,u788,436.41,2024-11-07T15:41:56.024991,unknown
t73,u979,37.54,2024-11-13T15:41:56.025007,unknown
t74,u401,406.38,2024-11-13T15:41:56.025014,PENDING
t75,u450,412.9,2024-10-19T15:41:56.025023,unknown
t76,u493,236.82,2024-11-03T15:41:56.025030,unknown
t77,u358,252.05,2024-11-12T15:41:56.025041,unknown
t78,u960,135.23,2024-11-02T15:41:56.025049,unknown
t80,u978,99.96,2024-12-12T15:41:56.025065,FAILED
t81,u321,191.78,2024-12-03T15:41:56.025073,unknown
t82,u896,441.39,2024-12-13T15:41:56.025081,FAILED
t86,u711,16.02,2024-11-23T15:41:56.025114,unknown
t88,u726,369.23,2024-10-28T15:41:56.025128,unknown
t89,u463,142.08,2024-10-19T15:41:56.025135,unknown
t91,u725,253.99,2024-12-02T15:41:56.025152,unknown
t92,u250,395.99,2024-11-17T15:41:56.025159,unknown
t93,u696,326.36,2024-12-12T15:41:56.025167,unknown
t94,u143,190.26,2024-12-09T15:41:56.025175,FAILED
t96,u713,442.01,2024-11-12T15:41:56.025191,FAILED
t98,u734,289.14,2024-11-29T15:41:56.025210,unknown
t99,u173,246.04,2024-11-29T15:41:56.025218,PENDING
t100,u798,196.92,2024-12-10T15:41:56.025226,PENDING
t101,u650,410.38,2024-10-27T15:41:56.025234,unknown
t103,u81,123.61,2024-10-21T15:41:56.025250,FAILED
t104,u583,136.17,2024-11-12T15:41:56.025258,PENDING
t106,u279,182.64,2024-11-09T15:41:56.025274,PENDING
t107,u219,436.66,2024-11-21T15:41:56.025281,unknown
t108,u657,242.96,2024-11-23T15:41:56.025289,unknown
t109,u738,249.75,2024-11-26T15:41:56.025300,FAILED
t110,u620,106.72,2024-11-05T15:41:56.025310,PENDING
t111,u144,86.67,2024-12-19T15:41:56.025318,PENDING
t112,u667,446.64,2024-12-08T15:41:56.025326,unknown
t115,u946,91.66,2024-12-05T15:41:56.025353,FAILED
